2011-01-29|10|346
2011-01-29|12|348
2011-01-29|26|223
2011-01-29|8|218
2011-01-29|17|345
2011-01-29|1|342
2011-01-29|13|232
2011-01-29|3|218
2011-03-01|5|218
2011-03-01|9|350
2011-03-31|7|342
2011-03-31|4|218
2011-03-31|1|218
2011-03-31|3|218
2011-03-31|10|218
2011-03-31|1|218
2011-05-01|2|218
2011-05-01|3|348
2011-05-01|8|349
2011-05-01|10|218
2011-05-01|1|218
2011-05-01|18|232
2011-05-01|4|223
2011-05-01|10|350
2011-05-01|28|315
2011-05-01|12|218
2011-05-31|10|223
2011-05-31|20|220
2011-05-31|9|218
2011-05-31|6|218
2011-05-31|4|218
2011-05-31|18|346
2011-05-31|18|232
2011-07-01|8|342
2011-08-01|11|218
2011-08-01|6|223
2011-08-01|6|218
2011-08-29|2|218
2011-09-29|4|218
2011-09-29|5|218
2011-09-29|24|342
2011-10-29|1|322
2011-10-29|1|218
2011-10-29|22|223
2011-10-29|3|232
2011-10-29|3|232
2011-10-29|10|223
2011-10-29|11|215
2011-10-29|13|348
2011-11-29|6|218
2011-11-29|15|315
2011-11-29|6|342
2011-12-29|31|469
2011-12-29|32|470
2011-12-29|23|389
2011-12-29|26|323
2011-12-29|29|333
2011-12-29|33|325
2011-12-29|43|329
2011-12-29|16|447
2011-12-29|30|453
2011-12-29|40|224
2011-12-29|44|448
2011-12-29|1|469
2011-12-29|10|470
2011-12-29|22|360
2011-12-29|37|469
2011-12-29|38|470
2011-12-29|9|464
2011-12-29|11|447
2011-12-29|2|323
2011-12-29|8|460
2011-12-29|9|224
2011-12-29|18|453
2011-12-29|20|433
2011-12-29|24|343
2011-12-29|31|329
2011-12-29|37|373
2011-12-29|41|233
2011-12-29|43|333
2011-12-29|60|389
2011-12-29|15|456
2011-12-29|6|469
2011-12-29|9|470
2011-12-29|2|470
2011-12-29|19|460
2011-12-29|30|470
2011-12-29|38|458
2011-12-29|43|236
2011-12-29|30|469
2011-12-29|31|470
2011-12-29|29|469
2011-12-29|3|470
2011-12-29|16|470
2011-12-29|25|364
2011-12-29|26|469
2011-12-29|35|365
2011-12-29|11|458
2011-12-29|13|325
2011-12-29|19|381
2011-12-29|30|368
2011-12-29|32|263
2011-12-29|41|329
2011-12-29|14|420
2011-12-29|17|470
2011-12-29|19|470
2011-12-29|20|352
2011-12-29|40|428
